Name,latitude,longitude,Phylum
Jungermanniopsida,27.628,85.276,Magnoliophyta
Jungermanniopsida,27.628,85.276,Marchantiophyta
Insecta,27.628,85.276,Marchantiophyta
Magnoliopsida,28.3352,85.843,Arthropoda
Bryopsida,27.8619,83.5443,Magnoliophyta
Insecta,27.8619,83.5443,Bryophyta
Insecta,27.8619,83.5443,Arthropoda
Insecta,27.8619,83.5443,Arthropoda
Insecta,27.8619,83.5443,Arthropoda
Insecta,29.3373,82.3868,Arthropoda
Insecta,29.198,82.31,Arthropoda
Insecta,27.5909,83.7209,Arthropoda
Lycopodiopsida,27.5909,83.7209,Arthropoda
Arachnida,27.352,87.475,Lycopodiophyta
Insecta,28.2959,82.0413,Arthropoda
Malacostraca,27.759,85.154,Arthropoda
Malacostraca,27.911,85.54,Arthropoda
Reptilia,27.911,85.54,Arthropoda
Insecta,27.911,85.54,Chordata
Mammalia,27.911,85.54,Arthropoda
Bivalvia,27.911,85.54,Chordata
Gastropoda,27.911,85.54,Mollusca
Gastropoda,27.911,85.54,Mollusca
Bivalvia,27.911,85.54,Mollusca
Chromadorea,27.911,85.54,Mollusca
Actinopterygii,27.911,85.54,Nematoda
Actinopterygii,27.911,85.54,Chordata
Actinopterygii,28.6932,81.2702,Chordata
Actinopterygii,28.3599,81.2128,Chordata
Actinopterygii,29.0451,81.4443,Chordata
Actinopterygii,29.0451,81.4443,Chordata
Actinopterygii,28.976,81.4208,Chordata
Actinopterygii,28.976,81.4208,Chordata
Insecta,28.5408,81.1734,Chordata
Insecta,28.5408,81.1734,Arthropoda
Insecta,28.5408,81.1734,Arthropoda
Insecta,28.5408,81.1734,Arthropoda
Insecta,28.5408,81.1734,Arthropoda
Insecta,28.5408,81.1734,Arthropoda
Insecta,28.5408,81.1734,Arthropoda
Trematoda,28.5408,81.1734,Arthropoda
Trematoda,28.5408,81.1734,Platyhelminthes
Trematoda,28.5408,81.1734,Platyhelminthes
Trematoda,28.5408,81.1734,Platyhelminthes
Trematoda,28.5408,81.1734,Platyhelminthes
Trematoda,28.5408,81.1734,Platyhelminthes
Trematoda,28.5408,81.1734,Platyhelminthes
Trematoda,28.5408,81.1734,Platyhelminthes
Trematoda,28.5408,81.1734,Platyhelminthes
Trematoda,28.5408,81.1734,Platyhelminthes
Trematoda,28.5408,81.1734,Platyhelminthes
Trematoda,28.5408,81.1734,Platyhelminthes
Agaricomycetes,28.5408,81.1734,Platyhelminthes
Marchantiopsida,28.5408,81.1734,Basidiomycota
